source,target,value
phantomjs@*,grunt-jasmine-phantomjs@0.1.0,2
express@3.4.6,application-name@0.0.1,2
express@3.4.6,gatin-js@0.0.1,2
express@3.4.6,mean@0.1.2,2
express@3.4.6,Node-on-Heroku@0.0.0,2
express@3.4.6,app@0.0.0,2
express@3.4.6,application-name@0.0.1,2
express@3.4.6,nodejs-travis-test@1.0.0,2
express@3.4.6,newsfeed@0.0.1,2
express@3.4.6,depot@0.0.1,2
express@3.4.6,iBeaconNode@0.0.1,2
express@3.4.6,application-name@0.0.1,2
express@3.4.6,spellcheck@0.0.0,2
express@3.4.6,xchange-charts@0.0.1,2
express@3.4.6,instygram@0.0.1,2
express@3.4.6,strichliste@1.7.0,2
express@3.4.6,socket-chat-example@0.0.1,2
express@3.4.6,nodejs-express-socketio-chatroom@1.0.0,2
express@3.4.6,netmon@1.0.0,2
express@3.4.6,zonegrid@0.0.1,2
express@3.4.6,shakespeare_annotate@0.0.0,2
express@3.4.6,jyavu.com@1.0.0,2
express@3.4.6,YiffSpot@2.6.0,2
express@3.4.6,expressApp@0.0.0,2
express@3.4.6,login-system@0.0.0,2
express@3.4.6,playyylist@0.0.0,2
express@3.4.6,task-master@0.0.0,2
express@3.4.6,PasswordTracker@0.0.0,2
express@3.4.6,react-starter-template-js@1.0.0,2
express@3.4.6,RobotIcon@1.0.0,2
express@3.4.6,workshop-project@0.0.1,2
express@3.4.6,atlas-server@0.0.1,2
express@3.4.6,whyilove@0.0.0,2
express@3.4.6,pandemic@0.0.0,2
express@3.4.6,AngularNode@0.0.1,2
express@3.4.6,reveal.js@2.6.2,2
express@3.4.6,sequelize-rest-boilerplate@0.1.2,2
express@3.4.6,Bernie@0.0.1,2
express@3.4.6,server@0.0.1,2
express@3.4.6,mean@0.4.0,2
jade@*,application-name@0.0.1,2
jade@*,gatin-js@0.0.1,2
jade@*,mean@0.1.2,2
jade@*,newsfeed@0.0.1,2
jade@*,application-name@0.0.1,2
jade@*,xchange-charts@0.0.1,2
jade@*,socket-chat-example@0.0.1,2
jade@*,nodejs-express-socketio-chatroom@1.0.0,2
jade@*,shakespeare_annotate@0.0.0,2
jade@*,jyavu.com@1.0.0,2
jade@*,login-system@0.0.0,2
jade@*,task-master@0.0.0,2
jade@*,pandemic@0.0.0,2
jade@*,AngularNode@0.0.1,2
node-uuid@~1.4.1,application-name@0.0.1,2
node-uuid@~1.4.1,depot@0.0.1,2
node-uuid@~1.4.1,sdc@1.8.6,2
jquery@^3.2.1,ride44@4.4.0,2
jquery@^3.2.1,pavonine@0.0.1,2
jquery@^3.2.1,jquery-ui.autocomplete.match@1.0.2,2
monaco-editor@^0.18.0,ride44@4.4.0,2
node-ipc@^9.1.1,ride44@4.4.0,2
os-locale@^4.0.0,ride44@4.4.0,2
ssh2@^0.8.5,ride44@4.4.0,2
toastr@^2.1.4,ride44@4.4.0,2
static-favicon@~1.0.0,gatin-js@0.0.1,2
static-favicon@~1.0.0,xchange-charts@0.0.1,2
static-favicon@~1.0.0,playyylist@0.0.0,2
static-favicon@~1.0.0,AngularNode@0.0.1,2
morgan@~1.0.0,gatin-js@0.0.1,2
morgan@~1.0.0,simple-server@1.0.0,2
morgan@~1.0.0,spellcheck@0.0.0,2
morgan@~1.0.0,xchange-charts@0.0.1,2
morgan@~1.0.0,strichliste@1.7.0,2
morgan@~1.0.0,shakespeare_annotate@0.0.0,2
morgan@~1.0.0,jyavu.com@1.0.0,2
morgan@~1.0.0,login-system@0.0.0,2
morgan@~1.0.0,playyylist@0.0.0,2
morgan@~1.0.0,task-master@0.0.0,2
morgan@~1.0.0,whyilove@0.0.0,2
morgan@~1.0.0,AngularNode@0.0.1,2
morgan@~1.0.0,Bernie@0.0.1,2
morgan@~1.0.0,mean@0.4.0,2
cookie-parser@~1.0.1,gatin-js@0.0.1,2
cookie-parser@~1.0.1,spellcheck@0.0.0,2
cookie-parser@~1.0.1,xchange-charts@0.0.1,2
cookie-parser@~1.0.1,socket-chat-example@0.0.1,2
cookie-parser@~1.0.1,shakespeare_annotate@0.0.0,2
cookie-parser@~1.0.1,jyavu.com@1.0.0,2
cookie-parser@~1.0.1,login-system@0.0.0,2
cookie-parser@~1.0.1,playyylist@0.0.0,2
cookie-parser@~1.0.1,whyilove@0.0.0,2
cookie-parser@~1.0.1,AngularNode@0.0.1,2
cookie-parser@~1.0.1,Bernie@0.0.1,2
cookie-parser@~1.0.1,mean@0.4.0,2
body-parser@~1.0.0,gatin-js@0.0.1,2
body-parser@~1.0.0,app@0.0.0,2
body-parser@~1.0.0,newsfeed@0.0.1,2
body-parser@~1.0.0,depot@0.0.1,2
body-parser@~1.0.0,spellcheck@0.0.0,2
body-parser@~1.0.0,xchange-charts@0.0.1,2
body-parser@~1.0.0,strichliste@1.7.0,2
body-parser@~1.0.0,socket-chat-example@0.0.1,2
body-parser@~1.0.0,shakespeare_annotate@0.0.0,2
body-parser@~1.0.0,jyavu.com@1.0.0,2
body-parser@~1.0.0,expressApp@0.0.0,2
body-parser@~1.0.0,login-system@0.0.0,2
body-parser@~1.0.0,playyylist@0.0.0,2
body-parser@~1.0.0,task-master@0.0.0,2
body-parser@~1.0.0,PasswordTracker@0.0.0,2
body-parser@~1.0.0,whyilove@0.0.0,2
body-parser@~1.0.0,AngularNode@0.0.1,2
body-parser@~1.0.0,sequelize-rest-boilerplate@0.1.2,2
body-parser@~1.0.0,Bernie@0.0.1,2
body-parser@~1.0.0,mean@0.4.0,2
debug@~0.7.4,gatin-js@0.0.1,2
debug@~0.7.4,spellcheck@0.0.0,2
debug@~0.7.4,xchange-charts@0.0.1,2
debug@~0.7.4,inturn@1.0.1,2
debug@~0.7.4,shakespeare_annotate@0.0.0,2
debug@~0.7.4,drudge@2.0.0,2
debug@~0.7.4,expressApp@0.0.0,2
debug@~0.7.4,login-system@0.0.0,2
debug@~0.7.4,whyilove@0.0.0,2
debug@~0.7.4,AngularNode@0.0.1,2
debug@~0.7.4,taskcluster-treeherder@0.2.0,2
hbs@latest,gatin-js@0.0.1,2
mongoose@~3.8.3,mean@0.1.2,2
mongoose@~3.8.3,newsfeed@0.0.1,2
mongoose@~3.8.3,depot@0.0.1,2
mongoose@~3.8.3,iBeaconNode@0.0.1,2
mongoose@~3.8.3,spellcheck@0.0.0,2
mongoose@~3.8.3,socket-chat-example@0.0.1,2
mongoose@~3.8.3,nodejs-express-socketio-chatroom@1.0.0,2
mongoose@~3.8.3,shakespeare_annotate@0.0.0,2
mongoose@~3.8.3,login-system@0.0.0,2
mongoose@~3.8.3,workshop-project@0.0.1,2
mongoose@~3.8.3,AngularNode@0.0.1,2
mongoose@~3.8.3,server@0.0.1,2
mongoose@~3.8.3,mean@0.4.0,2
connect-mongo@~0.4.0,mean@0.1.2,2
connect-mongo@~0.4.0,iBeaconNode@0.0.1,2
connect-mongo@~0.4.0,mean@0.4.0,2
connect-flash@~0.1.1,mean@0.1.2,2
connect-flash@~0.1.1,nodejs-express-socketio-chatroom@1.0.0,2
connect-flash@~0.1.1,jyavu.com@1.0.0,2
connect-flash@~0.1.1,login-system@0.0.0,2
connect-flash@~0.1.1,mean@0.4.0,2
crypto@0.0.3,mean@0.1.2,2
crypto@0.0.3,grunt-optimusjs@0.1.5,2
passport@~0.1.18,mean@0.1.2,2
passport@~0.1.18,app@0.0.0,2
passport@~0.1.18,socket-chat-example@0.0.1,2
passport@~0.1.18,nodejs-express-socketio-chatroom@1.0.0,2
passport@~0.1.18,jyavu.com@1.0.0,2
passport@~0.1.18,login-system@0.0.0,2
passport@~0.1.18,mean@0.4.0,2
passport-local@~0.1.6,mean@0.1.2,2
passport-local@~0.1.6,app@0.0.0,2
passport-local@~0.1.6,socket-chat-example@0.0.1,2
passport-local@~0.1.6,nodejs-express-socketio-chatroom@1.0.0,2
passport-local@~0.1.6,jyavu.com@1.0.0,2
passport-local@~0.1.6,login-system@0.0.0,2
passport-local@~0.1.6,mean@0.4.0,2
passport-facebook@~1.0.2,mean@0.1.2,2
passport-facebook@~1.0.2,mean@0.4.0,2
passport-twitter@~1.0.2,mean@0.1.2,2
passport-twitter@~1.0.2,mean@0.4.0,2
passport-github@~0.1.5,mean@0.1.2,2
passport-github@~0.1.5,mean@0.4.0,2
passport-google-oauth@~0.1.5,mean@0.1.2,2
passport-google-oauth@~0.1.5,mean@0.4.0,2
passport-linkedin@~0.1.3,mean@0.1.2,2
passport-linkedin@~0.1.3,mean@0.4.0,2
lodash@~2.4.1,mean@0.1.2,2
lodash@~2.4.1,pavonine@0.0.1,2
lodash@~2.4.1,inturn@1.0.1,2
lodash@~2.4.1,buckets-ds@0.1.0,2
lodash@~2.4.1,home-inventory@0.0.0,2
lodash@~2.4.1,node-error@0.1.0,2
lodash@~2.4.1,linode-env@1.0.0,2
lodash@~2.4.1,playyylist@0.0.0,2
lodash@~2.4.1,task-master@0.0.0,2
lodash@~2.4.1,demoinfogo-viewer@0.0.0,2
lodash@~2.4.1,bluth@0.0.3,2
lodash@~2.4.1,whyilove@0.0.0,2
lodash@~2.4.1,pandemic@0.0.0,2
lodash@~2.4.1,taskcluster-treeherder@0.2.0,2
